site_code,collection_date,Diversity,Observed,Estimator,s.e.,LCL,UCL
AR,2017-09-16,Species richness,7,7,0.883557686668525,7,8.731741244133834
AR,2017-09-16,Shannon diversity,4.75863719287109,4.979938961351882,0.44836543187721223,4.1011588629597995,5.858719059743965
AR,2017-09-16,Simpson diversity,3.8992628992628995,4.072916666666667,0.4320141879438167,3.2261844174864684,4.9196489158468655
AR,2017-11-01,Species richness,9,9,1.2660377390511321,9,11.481388371608737
AR,2017-11-01,Shannon diversity,4.85909962569213,4.959634362727223,0.27300396754364664,4.424556418705134,5.494712306749312
AR,2017-11-01,Simpson diversity,3.783272727272728,3.835865135235283,0.30170236188858257,3.244539371882992,4.4271908985875745
AR,2017-12-07,Species richness,6,6,0.5174110848665713,6,7.014107091540277
AR,2017-12-07,Shannon diversity,4.021505162339264,4.122782909831196,0.3250466316330654,3.48570321853433,4.759862601128062
AR,2017-12-07,Simpson diversity,3.272484416740872,3.345588235294113,0.35543048655275733,2.6489572826431607,4.042219187945065
AR,2018-02-03,Species richness,5,5,0.2593515869193833,5,5.508319769695301
AR,2018-02-03,Shannon diversity,3.390740411334612,3.445873235721278,0.2572487027836027,2.941675043195768,3.9500714282467877
AR,2018-02-03,Simpson diversity,2.7996875542440556,2.8402555910543072,0.2668476832133695,2.3172437425981496,3.363267439510465
AR,2018-04-07,Species richness,4,4,0.5238915033607772,4,5.026808478393668
AR,2018-04-07,Shannon diversity,1.8573088521104577,1.8983986886413091,0.20156064580773617,1.5033470821575121,2.293450295125106
AR,2018-04-07,Simpson diversity,1.4179431072210062,1.4263392857142896,0.1251282327868355,1.181092456002948,1.671586115425631
AR,2018-05-12,Species richness,6,6,0.6877958193040566,6,7.34805503455317
AR,2018-05-12,Shannon diversity,3.4744486402319144,3.5429223908755647,0.22135818725585482,3.109068316171016,3.976776465580113
AR,2018-05-12,Simpson diversity,2.99966588706983,3.045454545454546,0.17669000115918082,2.699148506754211,3.3917605841548806
AR,2018-06-08,Species richness,9,9,1.6930132049066196,9,12.318244906967704
AR,2018-06-08,Shannon diversity,5.7534411142382575,6.106463789530155,0.5887766003850338,4.952482857835557,7.2604447212247525
AR,2018-06-08,Simpson diversity,4.4888691006233294,4.724334600760458,0.6245287880166224,3.5002806689394284,5.948388532581488
AR,2018-07-01,Species richness,5,9,3.185943649419113,5,15.244334809635564
AR,2018-07-01,Shannon diversity,4.166436205292808,6.861302161922991,2.7122889952064124,1.5453134156540935,12.177290908191889
AR,2018-07-01,Simpson diversity,3.521739130434783,5.1428571428571415,3.351235472574944,0,11.711157972817098
AR,2018-08-01,Species richness,4,8.5,2.2264423312867216,4.13625321702263,12.863746782977369
AR,2018-08-01,Shannon diversity,4,12.27508526282279,3.8535360550289255,4.72229338183954,19.82787714380604
AR,2018-08-01,Simpson diversity,4,Inf,NA,NA,NA
AR,2018-09-11,Species richness,11,11,1.3818272068953732,11,13.708331558372508
AR,2018-09-11,Shannon diversity,6.622382527248003,6.954988593507255,0.5280821533038,5.919966592153448,7.9900105948610625
AR,2018-09-11,Simpson diversity,5.00174748798602,5.197983501374883,0.4589037925787754,4.298548595551644,6.097418407198122
AR,2020-01-17,Species richness,7,7,0.37709742710535504,7,7.739097375789214
AR,2020-01-17,Shannon diversity,6.144744922504806,6.494821751810835,0.42022956627832647,5.671186936666428,7.318456566955242
AR,2020-01-17,Simpson diversity,5.6200716845878125,6.135458167330673,0.5904767670890881,4.978144970128414,7.292771364532931
AR,2020-05-20,Species richness,10,24.909090909090907,9.366460576866931,10,43.26701630236435
AR,2020-05-20,Shannon diversity,3.5928385046280042,3.846445000543905,0.37347682050294945,3.1144438832975943,4.578446117790216
AR,2020-05-20,Simpson diversity,2.7293233082706765,2.75840978593272,0.21279491905037082,2.341339408500877,3.175480163364563
AR,2020-09-20,Species richness,10,12.211864406779661,4.791152027051819,10,21.6023498242573
AR,2020-09-20,Shannon diversity,6.480148111032999,7.211925731504363,1.0054514991621715,5.241277004944703,9.182574458064023
AR,2020-09-20,Simpson diversity,5.172362555720652,5.573289902280146,0.8158938768462141,3.974167288454808,7.172412516105483
AR,2020-11-03,Species richness,8,8.496323529411764,1.8393150545191397,8,12.101314792491603
AR,2020-11-03,Shannon diversity,5.175399384010028,5.330919898866842,0.3527865224547314,4.639471020624438,6.0223687771092465
AR,2020-11-03,Simpson diversity,4.426998563906176,4.5423057892132706,0.33534843651252877,3.8850349313768975,5.199576647049644
EM,2017-10-10,Species richness,10,16.122448979591837,7.6727887613338615,10,31.160838612789895
EM,2017-10-10,Shannon diversity,5.365290907706528,6.369871426632734,1.1606168990557233,4.095104104634958,8.644638748630511
EM,2017-10-10,Simpson diversity,4.02177554438861,4.291970802919709,0.6556868295397728,3.0068482318845007,5.5770933739549164
EM,2017-11-03,Species richness,13,19.211180124223603,7.860562900498327,13,34.617600307412026
EM,2017-11-03,Shannon diversity,4.621796733014487,4.9173235103106725,0.5486276211355112,3.842033131961185,5.99261388866016
EM,2017-11-03,Simpson diversity,3.257634786980017,3.3042585941508484,0.2932348206626226,2.7295289066390467,3.87898828166265
EM,2017-12-02,Species richness,14,17.10929648241206,6.566773159280414,14,29.979935369245975
EM,2017-12-02,Shannon diversity,3.5798684828256397,3.749768185322561,0.37216694472127726,3.0203343774325484,4.479201993212573
EM,2017-12-02,Simpson diversity,2.3598712829986295,2.3761910505367223,0.18371201716779292,2.016122113360644,2.7362599877128004
EM,2018-02-09,Species richness,11,15.471698113207548,5.427048333081542,11,26.108517388405502
EM,2018-02-09,Shannon diversity,4.760168904648248,4.99537058984644,0.43589982363073326,4.141022634662841,5.849718545030038
EM,2018-02-09,Simpson diversity,3.426073993766093,3.479501385041549,0.2638361690762431,2.962391995833092,3.9966107742500054
EM,2018-03-09,Species richness,10,17.947712418300654,6.951774272250365,10,31.57293962056351
EM,2018-03-09,Shannon diversity,3.2237588366027206,3.4100198518552394,0.3435310682952801,2.736711330425921,4.083328373284558
EM,2018-03-09,Simpson diversity,2.333665636526767,2.354322737396231,0.18585358258827128,1.9900564091254789,2.718589065666983
EM,2018-03-31,Species richness,7,9.972727272727273,1.5199986000370862,7,12.951869785351263
EM,2018-03-31,Shannon diversity,3.9010940605681363,4.0835506985487235,0.29880870311113533,3.4978964021837773,4.66920499491367
EM,2018-03-31,Simpson diversity,3.201058201058201,3.267029972752041,0.29856295848079967,2.6818573270119463,3.852202618492136
EM,2018-05-04,Species richness,10,15.94059405940594,4.603782678780846,10,24.96384230246573
EM,2018-05-04,Shannon diversity,5.211720029134734,5.639085339937171,0.5625464678550459,4.536514523311062,6.74165615656328
EM,2018-05-04,Simpson diversity,3.995691343517431,4.119086460032616,0.36792035525938244,3.3979758145450445,4.840197105520187
EM,2018-06-04,Species richness,6,6,0.9096227797138888,6,7.782827887756433
EM,2018-06-04,Shannon diversity,4.609086695816717,4.9946879881579775,0.5707859650229602,3.875968053832037,6.113407922483918
EM,2018-06-04,Simpson diversity,3.903225806451613,4.292682926829268,0.6888622515497761,2.942537723482536,5.6428281301759995
EM,2018-07-05,Species richness,6,18.5,4.703323666014828,9.281655006976044,27.718344993023955
EM,2018-07-05,Shannon diversity,6,26.00771964445067,7.5528131101110745,11.204477966671018,40.81096132223033
EM,2018-07-05,Simpson diversity,6,Inf,NA,NA,NA
EM,2018-09-01,Species richness,8,24.615384615384617,9.947391133918849,8,44.11191297799861
EM,2018-09-01,Shannon diversity,6.292111764414631,14.396977746546408,7.339170297652954,0.012468286740515921,28.781487206352303
EM,2018-09-01,Simpson diversity,4.828571428571428,7.0909090909090855,7.1754782577626095,0,21.154588047974013
EM,2020-01-14,Species richness,8,15.771428571428572,6.142519356575215,8,27.810545284656136
EM,2020-01-14,Shannon diversity,3.915487016037031,4.857337334869882,1.331719056385079,2.2472159468294626,7.467458722910302
EM,2020-01-14,Simpson diversity,2.536231884057971,2.6562500000000018,0.6844034648628271,1.3148438579744366,3.997656142025567
EM,2020-05-30,Species richness,7,14.555555555555555,5.903779260971081,7,26.12675027973337
EM,2020-05-30,Shannon diversity,5.000542877147085,7.369531331245609,2.600147205542048,2.27333645388073,12.465726208610487
EM,2020-05-30,Simpson diversity,3.9512195121951215,4.781249999999999,1.9417122388379007,0.9755639435370784,8.58693605646292
EM,2020-09-08,Species richness,9,20.875,10.367702399212318,9,41.19532330488565
EM,2020-09-08,Shannon diversity,6.792134942889018,10.992532118216568,4.127028013890578,2.9037058478031668,19.08135838862997
EM,2020-09-08,Simpson diversity,5.263157894736843,6.785714285714292,2.6102625283916314,1.6696937398722351,11.901734831556348
EM,2020-11-05,Species richness,12,24.014423076923077,13.154501089504933,12,49.79677144694564
EM,2020-11-05,Shannon diversity,5.82539204657363,7.346599852446043,1.7465397641594504,3.9234448171264407,10.769754887765645
EM,2020-11-05,Simpson diversity,4.047904191616767,4.305194805194808,0.7313010998105114,2.8718709877116746,5.738518622677941
GC,2017-10-03,Species richness,5,9,3.4285850086429908,5,15.71990313487421
GC,2017-10-03,Shannon diversity,4.166436205292808,6.861302161922991,2.963758863741217,1.0524415301288537,12.670162793717129
GC,2017-10-03,Simpson diversity,3.521739130434783,5.1428571428571415,3.2590880110945752,0,11.530552267048783
GC,2017-11-04,Species richness,11,35.07017543859649,16.460088982509653,11,67.33135702663995
GC,2017-11-04,Shannon diversity,4.8717098499547635,6.2637782060177445,1.5898234133433682,3.147781574086208,9.379774837949281
GC,2017-11-04,Simpson diversity,3.4674493062966922,3.6272727272727376,0.5218985071293725,2.6043704497139473,4.650175004831528
GC,2017-12-03,Species richness,13,14.571428571428571,6.0243383513861035,13,26.378914770828736
GC,2017-12-03,Shannon diversity,6.745649985384081,7.749300555784839,1.360821256270301,5.082139904098498,10.41646120747118
GC,2017-12-03,Simpson diversity,4.104712041884817,4.350282485875701,0.9619031409235747,2.4649869730495397,6.235577998701864
GC,2018-02-11,Species richness,13,44.33333333333333,20.626778523796755,13,84.76107635705922
GC,2018-02-11,Shannon diversity,5.184548957063665,7.4485008949679115,2.429167567535095,2.6874199501863565,12.209581839749466
GC,2018-02-11,Simpson diversity,2.775903614457831,2.8849104859334993,0.680498978785974,1.5511569959967046,4.218663975870294
GC,2018-03-30,Species richness,9,11.608695652173914,5.335168308136761,9,22.065433387581457
GC,2018-03-30,Shannon diversity,3.6195544291406905,4.1432975045303655,0.8553251719034898,2.4668909725289954,5.819704036531736
GC,2018-03-30,Simpson diversity,2.222689075630252,2.2847682119205355,0.4191936798632268,1.4631636968417978,3.106372726999273
GC,2018-05-04,Species richness,9,9.486842105263158,3.724115130544473,9,16.785973635411004
GC,2018-05-04,Shannon diversity,5.803353150879149,6.576531194110365,0.8832729968248412,4.8453479318169155,8.307714456403815
GC,2018-05-04,Simpson diversity,4.173410404624279,4.5649350649350735,0.7783282669057138,3.0394396936503965,6.0904304362197506
GC,2018-06-06,Species richness,9,11.564102564102564,4.906872342212071,9,21.18139563157392
GC,2018-06-06,Shannon diversity,5.895197589772761,7.484188511216019,1.7372314104801319,4.079277513863243,10.889099508568796
GC,2018-06-06,Simpson diversity,4.172839506172839,4.779411764705869,1.5358461368665337,1.7692086506524896,7.789614878759249
GC,2018-07-05,Species richness,3,5,1.3974483721633342,3,7.73894847969426
GC,2018-07-05,Shannon diversity,2.9999999999999996,7.184153153756982,2.381467436289362,2.5165627482748967,11.851743559239067
GC,2018-07-05,Simpson diversity,3.0000000000000004,Inf,NA,NA,NA
GC,2018-07-27,Species richness,11,12.45945945945946,5.855856909909816,11,23.93672810150271
GC,2018-07-27,Shannon diversity,7.956756186746701,9.488376060808442,1.7057813107409867,6.145106126254582,12.831645995362301
GC,2018-07-27,Simpson diversity,5.978165938864628,6.937499999999991,1.7330811531352777,3.5407233575697017,10.33427664243028
GC,2018-11-15,Species richness,7,9.89655172413793,2.682202310534628,7,15.153571652035918
GC,2018-11-15,Shannon diversity,5.138009466578085,6.1146097116595595,0.9637962204508379,4.2256038311400905,8.003615592179028
GC,2018-11-15,Simpson diversity,4.44973544973545,5.075000000000004,0.7264364253368558,3.6512107692817466,6.498789230718261
GC,2020-01-15,Species richness,7,8.942857142857143,2.4231369894705685,7,13.692118371826268
GC,2020-01-15,Shannon diversity,4.9355417919679505,5.600180496060755,1.0125695158035108,3.6155807132427134,7.584780278878797
GC,2020-01-15,Simpson diversity,3.990228013029316,4.375000000000006,0.9588325600574772,2.495722715083013,6.254277284916999
GC,2020-05-24,Species richness,9,11.946428571428571,2.3105344236821077,9,16.47499282688551
GC,2020-05-24,Shannon diversity,5.57580452905127,6.216007219629758,0.7330056380829665,4.779342568522343,7.652671870737174
GC,2020-05-24,Simpson diversity,4.062176165803109,4.301675977653622,0.6645335988127254,2.9992140574638917,5.604137897843353
GC,2020-09-09,Species richness,11,13.222222222222221,3.8836991402655476,11,20.834132663931864
GC,2020-09-09,Shannon diversity,6.447144407080779,7.014736970449882,0.7403837688962839,5.563611448675139,8.465862492224625
GC,2020-09-09,Simpson diversity,5.027586206896552,5.294117647058816,0.5801597096458144,4.157025510871805,6.431209783245827
GC,2020-11-02,Species richness,12,12.163841807909604,2.1664595021279482,12,16.410024406044958
GC,2020-11-02,Shannon diversity,9.965924001659454,11.025198762530525,0.9185096608939113,9.224952907726362,12.82544461733469
GC,2020-11-02,Simpson diversity,8.8126582278481,10.184523809523832,1.0854922206294404,8.056998151591722,12.31204946745594
MR,2017-09-26,Species richness,1,1,0,1,1
MR,2017-09-26,Shannon diversity,1,1,0,1,1
MR,2017-09-26,Simpson diversity,1,1,0,1,1
MR,2017-10-31,Species richness,7,7.992063492063492,2.431291570131664,7,12.757307405437391
MR,2017-10-31,Shannon diversity,2.6558144581592265,2.741149560066432,0.2707443966186665,2.2105002936778178,3.271798826455046
MR,2017-10-31,Simpson diversity,2.161764705882353,2.1820448877805507,0.15614931312263822,1.875997857849512,2.488091917711589
MR,2017-12-05,Species richness,8,12.428571428571427,4.038427553243863,8,20.343743987103608
MR,2017-12-05,Shannon diversity,5.102281065256272,5.6216842160960985,0.6546289372970531,4.338635075756145,6.904733356436052
MR,2017-12-05,Simpson diversity,4.414905450500557,4.6722488038277525,0.41987047147659956,3.8493178015617655,5.49517980609374
MR,2018-02-05,Species richness,13,37.29752066115702,14.637579121465654,13,65.98664856008514
MR,2018-02-05,Shannon diversity,5.069151200505786,5.755863803641371,0.7788393704409614,4.229366687835237,7.2823609194475045
MR,2018-02-05,Simpson diversity,3.6538557524332425,3.7364899639732285,0.35840162113437996,3.0340356945490745,4.4389442333973825
MR,2018-03-05,Species richness,6,11.5,4.997202102511794,6,21.29433614439095
MR,2018-03-05,Shannon diversity,4.662978688338382,7.579885582232418,3.279240417462919,1.1526924673570056,14.00707869710783
MR,2018-03-05,Simpson diversity,3.789473684210526,5.076923076923076,2.6316001789131085,0,10.23476464930193
MR,2018-04-01,Species richness,6,6,0.6052096825236905,6,7.186189180841353
MR,2018-04-01,Shannon diversity,5.1833491118601,5.658216995039585,0.5692556642463809,4.542496395121254,6.773937594957917
MR,2018-04-01,Simpson diversity,4.591836734693878,5.240963855421688,0.8349666706652042,3.6044592526265715,6.877468458216804
MR,2018-06-06,Species richness,5,13,3.2611580021752262,6.608247767841962,19.391752232158037
MR,2018-06-06,Shannon diversity,5.000000000000001,18.563951842743844,5.5955114648278395,7.596950896600317,29.53095278888737
MR,2018-06-06,Simpson diversity,4.999999999999999,Inf,NA,NA,NA
MR,2018-07-27,Species richness,3,3.4285714285714284,1.3556238176053088,3,6.085545287662528
MR,2018-07-27,Shannon diversity,2.6004900059896596,3.20072318306989,1.1082166559108777,1.0286584504171525,5.372787915722627
MR,2018-07-27,Simpson diversity,2.3333333333333335,2.9999999999999996,1.1810173972261593,0.6852484363214928,5.314751563678506
MR,2020-01-17,Species richness,8,8,2.3663127451477557,8,12.637887756647707
MR,2020-01-17,Shannon diversity,7.518477245053691,8.997493210299949,1.1682023093743485,6.707858757269708,11.287127663330189
MR,2020-01-17,Simpson diversity,7.000000000000001,10.000000000000007,1.7783916515044282,6.514416412644621,13.485583587355393
MR,2020-05-21,Species richness,11,13.571428571428571,4.655200279398414,11,22.695453459870258
MR,2020-05-21,Shannon diversity,9.141181223896973,11.84641988442255,2.068654597677974,7.791931376520527,15.900908392324574
MR,2020-05-21,Simpson diversity,7.999999999999998,10.800000000000002,2.2035669429565723,6.481088154282095,15.11891184571791
MR,2020-09-10,Species richness,9,9.48611111111111,3.8844100901585046,9,17.099414989005762
MR,2020-09-10,Shannon diversity,4.8651058654282435,5.555681115912259,1.1554706972967483,3.29100016401925,7.820362067805268
MR,2020-09-10,Simpson diversity,2.972477064220183,3.1499999999999972,0.8214342246933345,1.5400185039324796,4.759981496067515
MR,2020-11-03,Species richness,13,28.636363636363637,16.48439840085032,13,60.945190808839925
MR,2020-11-03,Shannon diversity,6.82314273934039,9.38841230213536,2.4626454218495395,4.561715968617816,14.215108635652904
MR,2020-11-03,Simpson diversity,4.502325581395349,4.901554404145082,0.9480209068116333,3.043467570203278,6.7596412380868856
PD,2017-10-04,Species richness,8,10.1375,4.3777376981734335,8,18.717708222183205
PD,2017-10-04,Shannon diversity,6.337285984685423,8.259717484628261,1.8565882968087468,4.620871288764558,11.898563680491964
PD,2017-10-04,Simpson diversity,5.1282051282051295,6.55172413793104,1.9571343315775098,2.71581133513225,10.38763694072983
PD,2017-11-01,Species richness,8,10.1375,4.004661938898439,8,17.98649317049928
PD,2017-11-01,Shannon diversity,6.603448667383888,8.603969938074867,1.9394294197670454,4.802758124774044,12.40518175137569
PD,2017-11-01,Simpson diversity,5.7142857142857135,7.6000000000000085,2.0466000565314415,3.588737598440746,11.611262401559271
PD,2017-12-04,Species richness,11,11.494736842105263,2.0137064754505967,11,15.441529009423522
PD,2017-12-04,Shannon diversity,8.26259388353276,8.763134154154779,0.7079331932523214,7.375610591919795,10.150657716389762
PD,2017-12-04,Simpson diversity,7.056293979671619,7.542229729729726,0.772514069624203,6.028129975715822,9.056329483743632
PD,2018-02-03,Species richness,7,9.857142857142858,4.336638308214449,7,18.356797755219887
PD,2018-02-03,Shannon diversity,5.33564051851863,6.789024955622625,1.382606339557924,4.079166325292338,9.498883585952912
PD,2018-02-03,Simpson diversity,4.3663366336633676,5.2500000000000036,1.1874674211117597,2.9226066218062976,7.57739337819371
PD,2018-03-05,Species richness,9,14.9375,8.825016409050018,9,32.23421432471303
PD,2018-03-05,Shannon diversity,6.427170388974259,9.528191679270517,3.3929252252279434,2.878180435586298,16.178202922954735
PD,2018-03-05,Simpson diversity,4.651162790697674,5.757575757575764,2.4848111714040537,0.8874353532410355,10.627716161910492
PD,2018-03-30,Species richness,9,9,1.0954516710875903,9,11.147045822135894
PD,2018-03-30,Shannon diversity,6.597184417886837,7.083885336174137,0.6281824710867092,5.8526703171248124,8.31510035522346
PD,2018-03-30,Simpson diversity,5.203288490284007,5.6098360655737824,0.7385604837577385,4.162284117004136,7.057388014143429
